edrpou,official_address,mail_address,email,fax
04365253,27428 Кіровоградська Знам'янський Диківка Спічака буд. 1,27428 Кіровоградська Знам'янський Диківка Спічака буд. 1,Відсутня,(05233)41243
04365336,27131 Кіровоградська Новоукраїнський Димине Центральний буд. 1,27131 Кіровоградська Новоукраїнський Димине Центральний буд. 1,dyminska.rada@ukr.net,
04366471,28040 Кіровоградська Олександрійський Димитрове Димитрова буд. 18,28040 Кіровоградська Олександрійський Димитрове Димитрова буд. 18,dimitrovo_rada@ukr.net,0675603900
04376860,56622 Миколаївська Новоодеський Димівське Миру буд. 4,56622 Миколаївська Новоодеський Димівське Миру буд. 4,Dimovskasr@mail.ua,0516725442
21047388,39440 Полтавська Машівський Дмитрівка Леніна буд. 34,39440 Полтавська Машівський Дмитрівка Леніна буд. 34,olya.bridnya@yandex.ru,
04365267,27422 Кіровоградська Знам'янський Дмитрівка Перемоги буд. 4,27422 Кіровоградська Знам'янський Дмитрівка Перемоги буд. 4,dss_zn@ukr.net,(05233)70306
26510514,49000 Дніпропетровська Бабушкінський район Дніпропетровськ просп. Карла Маркса буд. 75 кiмната 111,49000 Дніпропетровська Бабушкінський район Дніпропетровськ просп. Карла Маркса буд. 75 кiмната 111,office@miac.dp.ua,(056) 745-54-66
26371722,49000 Дніпропетровська Бабушкінський Дніпропетровськ пр.Карла Маркса буд. 75 кiмната 501,49000 Дніпропетровська Бабушкінський Дніпропетровськ пр.Карла Маркса буд. 75 кiмната 501,politika@dniprorada.gov.ua,(056)744-60-68
04337877,52440 Дніпропетровська Солонянський Письмечеве Шкільна буд. 65,52440 Дніпропетровська Солонянський Письмечеве Шкільна буд. 65,solpysmechsil@mail.dp.gov.ua,0566993724
25019325,52005 Дніпропетровська Дніпропетровський Ювілейне Теплична буд. 5 кiмната 18,52005 Дніпропетровська Дніпропетровський Ювілейне Теплична буд. 5 кiмната 18,dneprrada@dp.gov.ua,(0562)753-69-49
23881397,71630 Запорізька Василівський Дніпрорудне пр. Ентузіастів буд. 11,71630 Запорізька Василівський Дніпрорудне пр. Ентузіастів буд. 11,gorsovetrudnoe@gmail.com,06175-6-18-12
04418742,60141 Чернівецька Кельменецький Дністрівка Центральна буд. 38,60141 Чернівецька Кельменецький Дністрівка Центральна буд. 38,dnistrivka@meta.ua,
04333514,44513 Волинська Камінь-Каширський с.Добре Центральна буд. 8,44513 Волинська Камінь-Каширський с.Добре Центральна буд. 8,dobresr@ukr.net,0335799142
04365922,27000 Кіровоградська Добровеличківський Добровеличківка Шевченка буд. 132,27000 Кіровоградська Добровеличківський Добровеличківка Шевченка буд. 132,Sr_dobra@dv.kw.ukrtel.net,05253-5-12-68
04376311,56312 Миколаївська Врадіївський Доброжанівка Леніна буд. 2-а,56312 Миколаївська Врадіївський Доброжанівка Леніна буд. 2-а,dobr.1972@mail.ru,0513594145
05420043,85000 Донецька  м. Добропілля Московська буд. 1,85000 Донецька  м. Добропілля Московська буд. 1,rrada@dobropol.dn.ua,(06277) 2-81-74
04343145,85032 Донецька Добропільський село Добропілля Леніна буд. 51 а,85032 Донецька Добропільський село Добропілля Леніна буд. 51 а,sdobropilliy@ukr.net,
04373206,81091 Львівська Яворівський Добростани Шевченка буд. немає,81091 Львівська Яворівський Добростани Шевченка буд. немає,dobrostany-rada@meta.ua,0325952442
04412403,15011 Чернігівська Ріпкинський Добрянка площа Леніна буд. 8,15011 Чернігівська Ріпкинський Добрянка площа Леніна буд. 8,Відсутня,(04641) 4-52-30
04388219,34360 Рівненська Володимирецький Довговоля Шевченка буд. 17/в,34360 Рівненська Володимирецький Довговоля Л.Українки буд. 35,dovgovolia@silrada.rv.ua,0-36-34-3-73-22
28900707,23331 Вінницька Тиврівський Довгополівка Першотравнева буд. 32,23331 Вінницька Тиврівський Довгополівка Першотравнева буд. 32,Відсутня,0435521262
04334287,44643 Волинська Маневицький Довжиця Робітнича буд. 3,44643 Волинська Маневицький Довжиця Робітнича буд. 3,dovzhytsa.sr@gmail.com,0337697351
04325845,24544 Вінницька Ямпільський Довжок Леніна буд. 87,24544 Вінницька Ямпільський Довжок Леніна буд. 87,dovjok@e-mail.ua,(04336)2-53-42
34534618,85740 Донецька Докучаєвськ Докучаєвськ Незалежності України буд. 22,85740 Донецька Докучаєвськ Докучаєвськ Незалежності України буд. 22,gorsovet@volnov.dc.ukrtel.net,(06275) 3-11-41
03302380,98450 Республіка Крим Бахчисарайський Долинне Леніна  буд. 30,98450 Республіка Крим Бахчисарайський Долинне Леніна  буд. 30,selsovetdol@gmail.com,0(6554)75660
04055222,28500 Кіровоградська Долинський Долинська Леніна буд. 50,28500 Кіровоградська Долинський Долинська Леніна буд. 50,dolmiskrada@ukr.net,(05234 ) 5 31 61
04054317,77504 Івано-Франківська Долинський р-н м. Долина пр.Незалежності буд. 5,77504 Івано-Франківська Долинський р-н м. Долина пр.Незалежності буд. 5,drada_if@ukrpost.ua,(03477) 27035
04353623,71760 Запорізька Токмацький Долина Центральна буд. 85,71760 Запорізька Токмацький Долина Радянська буд. 57,Відсутня,(06178) 32-5-23
24910971,70420 Запорізька Запорізький Долинське Центральна буд. 37,70420 Запорізька Запорізький Долинське Центральна буд. 37,Dolinskiy_ss@mail.ru,(061)-287-54-31
04326939,23415 Вінницька Мурованокуриловецький Долиняни Леніна буд. 61,23415 Вінницька Мурованокуриловецький Долиняни Леніна буд. 61,Відсутня,0435633149
20124023,44812 Волинська Турійський Дольськ Центральна буд. 26,44812 Волинська Турійський Дольськ Центральна буд. 26,dolskasr@gmail.com,
04334092,44232 Волинська Любешівський Дольськ Незалежності буд. 80,44232 Волинська Любешівський Дольськ Незалежності буд. 80,dolskrada@ukr.net,0336294131
04373212,81083 Львівська Яворівський Домажир Широка буд. 3,81083 Львівська Яворівський Домажир Широка буд. 3,domazhyr-rada@meta.ua,0325935331
04361982,09005 Київська Сквирський Домантівка Радянська буд. 15,09005 Київська Сквирський Домантівка Радянська буд. 77,Відсутня,04568-32-5-95
04336814,93890 Луганська  Донецький Шевченко буд. 27,93890 Луганська  Донецький Шевченко буд. 27,isp_kir@ukrpost.ua,(06446) 9-33-05
04332070,45530 Волинська Локачинський Дорогиничі Центральна буд. 13,45530 Волинська Локачинський Дорогиничі Центральна буд. 13,Doroginichi@gmail.com,0337498342
04333945,45022 Волинська Ковельський Доротище Шкільна буд. 32,45022 Волинська Ковельський Доротище Шкільна буд. 32,Dorotysche@gmail.com,(03352) 94-4-30
21045685,39351 Полтавська Новосанжарський Драбинівка Леніна буд. 11,39351 Полтавська Новосанжарський Драбинівка Леніна буд. 11,drabunivska@meta.ua,05344-9-47-42
25553289,82100  Львівська Дрогобицький Дрогобич 22Січня буд. 37,82100  Львівська Дрогобицький Дрогобич 22Січня буд. 37,rayrada-drogob@ukr.net,(03244)10417
20778807,81022 Львівська Яворівський Дрогомишль,81022 Львівська Яворівський Дрогомишль,drogomyshlyany@meta.ua,0000000000
04333951,45066 Волинська Ковельський Дроздні Незалежності буд. 21,45066 Волинська Ковельський Дроздні Незалежності буд. 21,Drozdni.sr@gmail.com,(03352) 95-3-16
03303422,97153 Республіка Крим Нижньогірський Дрофине Паркова буд. 13,97153 Республіка Крим Нижньогірський Дрофине Паркова буд. 13,drof_sovet@mail.ru,(06550)27640
04365224,27007 Кіровоградська Добровеличківський Дружелюбівка Інтернаціональна буд. 31,27007 Кіровоградська Добровеличківський Дружелюбівка Інтернаціональна буд. 31,dobrov@dv.kw.ukrtel.net,05253-5-33-11
25220872,70053 Запорізька Вільнянський Дружелюбівка Олімпійська буд. 4,70053 Запорізька Вільнянський Дружелюбівка Олімпійська буд. 4,druzhelyubivska_silska_rada@mail.ru,(06143)97-6-69
04387964,34643 Рівненська Березнівський Друхів Шевченка буд. 101-а,34643 Рівненська Березнівський Друхів Шевченка буд. 101-а,druhiv-sr@ukr.net,(03653)34693
05391063,35600 Рівненська Дубенський Дубно Замкова буд. 4,35600 Рівненська Дубенський Дубно Замкова буд. 4,rada@dubno-adm.rv.ua,03656 42132
21094100,35600 Рівненська Дубенський Дубно Данила Галицького буд. 17,35600 Рівненська Дубенський Дубно Данила Галицького буд. 17,dubnrada@ukr.net,(03656) 43103
04332940,44412 Волинська Старовижівський Дубечне Незалежності буд. 20,44412 Волинська Старовижівський Дубечне Незалежності буд. 20,dubechnenska@gmail.com,0334693017
04333709,45236 Волинська Ківерцівський Дубище Ватутіна буд. 41,45236 Волинська Ківерцівський Дубище Ватутіна буд. 41,radadubuwe@ukr.net,
20123973,45109 Волинська Рожищенський Дубище Зелена буд. 48,45109 Волинська Рожищенський Дубище Зелена буд. 48,dubushche.rozhadm@gmail.com,0336898954
04398330,64563 Харківська Сахновщинський Дубові Гряди Першотравнева буд. 31,64563 Харківська Сахновщинський Дубові Гряди Першотравнева буд. 31,sahnov-rada@mail.ru,05762-2-63-41
05390997,34100 Рівненська Дубровицький Дубровиця Воробинська буд. 4,34100 Рівненська Дубровицький Дубровиця Воробинська буд. 4,dubr_misk_rada@mail.ru,(03658)20231
21082321,34100 Рівненська Дубровицький Дубровиця Воробинська буд. 16,34100 Рівненська Дубровицький Дубровиця Воробинська буд. 16,rayrada@ukr.net,0365820208
04336760,"9 4637 Луганська  м.Антрацит, смт Дубівский Горького буд. 1","9 4637 Луганська  м.Антрацит, смт Дубівский Горького буд. 1",ps_dubovskiy@ukr.net,0643131227
04333939,45031 Волинська Ковельський Дубове Ковельська буд. 60,45031 Волинська Ковельський Дубове Ковельська буд. 60,Dubove.sr@gmail.com,(03352) 56-5-51
04361999,09025 Київська Сквирський Дулицьке Леніна буд. 230,09025 Київська Сквирський Дулицьке Леніна буд. 230,Відсутня,04568-28-6-43
04526265,44823 Волинська Турійський с. Дуліби Центральна буд. 16,44823 Волинська Турійський с. Дуліби Центральна буд. 16,dulibu@turadm.gov.ua,0336397346
04060714,32400 Хмельницька Дунаєвецький Дунаївці Гагаріна буд. 16,32400 Хмельницька Дунаєвецький Дунаївці Гагаріна буд. 16,dunalv@ua.fm,0385831694
04406414,32413 Хмельницька Дунаєвецький Дунаївці селище Чорновола буд. 19,32413 Хмельницька Дунаєвецький Дунаївці селище Чорновола буд. 19,smtdun.rada@mail.ru,(03858) 71-2-36
04329553,24444 Вінницька Бершадський Дяківка Олени Чухнюк буд. 5,24444 Вінницька Бершадський Дяківка Олени Чухнюк буд. 5,sr.diakivka@gmail.com,(04352)4-59-31
24831438,37622 Полтавська Миргородський Дібрівка Конезаводська  буд. 2,37622 Полтавська Миргородський Дібрівка Конезаводська  буд. 2,dibrivskasr@ukr.net,
04361143,09831 Київська Тетіївський Дібрівка Степова буд. 2,09831 Київська Тетіївський Дібрівка Степова буд. 2,raj_tetv@ukr.net,04560 2-51-72
34116680,19326 Черкаська Лисянський Дібрівка Центральна буд. 2,19326 Черкаська Лисянський Дібрівка Центральна буд. 2,dibrivka89@ukr.net,
04366962,26021 Кіровоградська Новомиргородський Дібрівка Лісна  буд. 1,26021 Кіровоградська Новомиргородський Дібрівка Лісна  буд. 1,dibrovka123456@mail.ru,(05256) 4-11-04
04333690,45261 Волинська Ківерцівський Дідичі Миру буд. 12,45261 Волинська Ківерцівський Дідичі Миру буд. 12,didychi.sr@gmail.com,
20130986,45753 Волинська Горохівський Жабче Шкільна буд. 8,45753 Волинська Горохівський Жабче Шкільна буд. 8,jabche.rada@gmail.com,0337993313
04385055,34132 Рівненська Дубровицький Жадень Центральна буд. 180,34132 Рівненська Дубровицький Жадень Центральна буд. 180,Sjadensr@ukr.net,
04344452,12740 Житомирська Баранівський Жари Баранівська буд. 3,12740 Житомирська Баранівський Жари Баранівська буд. 3,AleksandrS_@ukr.net,041-44-76-2-31
04331461,23350 Вінницька Тиврівський Жахнівка Жовтнева буд. 20,23350 Вінницька Тиврівський Жахнівка Жовтнева буд. 20,Відсутня,0435524132
04335223,45331 Волинська Іваничівський Жашковичі Радянська буд. 10,45331 Волинська Іваничівський Жашковичі Радянська буд. 10,zhashkovichi@ukr.net,
25673556,19200 Черкаська обл. Жашківський м.Жашків Костромська буд. 19,19200 Черкаська обл. Жашківський м.Жашків Костромська буд. 19,ZHASHKIVRADA@UKR.NET,(04747) 61154
04053068,86391 Донецька Жданівка Жданівка Комсомольська буд. 1,86391 Донецька Жданівка Жданівка Комсомольська буд. 1,ispolgd@gmail.com,06 250 72922
04331633,"22050 Вінницька Хмільницький Жданівка Зої Космодем""янської буд. 8","22050 Вінницька Хмільницький Жданівка Зої Космодем""янської буд. 8",zdanovka_s.r@mail.ru,(04338) 3-95-42
04349366,89120 Закарпатська Воловецький Жденієво Шевченка буд. 141,89120 Закарпатська Воловецький Жденієво Шевченка буд. 141,jdenievorada@mail.ru,(03136) 25586
04328223,22116 Вінницька Козятинський Жежелів Київська буд. 56,22116 Вінницька Козятинський Жежелів Київська буд. 56,JeJeliv-sr@meta.ua,0434235167
04055570,95006 Республіка Крим Сімферополь Сімферополь Павленка буд. 1,95006 Республіка Крим Сімферополь Сімферополь Павленка буд. 1,Ferrum@ark.gov.ua,(0652) 27 20 01
04369185,97140 Республіка Крим Нижньогірський Желябовка Центральна буд. 88,97140 Республіка Крим Нижньогірський Желябовка Центральна буд. 88,jelyab_sovet@mail.ru,(06550)26140
04369251,97154 Республіка Крим Нижньогірський Жемчужина Шкільна буд. 2,97154 Республіка Крим Нижньогірський Жемчужина Шкільна буд. 2,zhemchuj_sovet@mail.ru,(06550)23440
04333715,45240 Волинська Ківерцівський Жидичин 17 Вересня буд. 12,45240 Волинська Ківерцівський Жидичин 17  Вересня буд. 12,juduchun.sr@gmail.com,0336540711
04334577,44141 Волинська Ратнівський Жиричі Центральна буд. 118,44141 Волинська Ратнівський Жиричі Центральна буд. 118,guruchi@yandex.ua,0336694945
13576954,10014 Житомирська  Житомир майдан ім. С.П.Корольова  буд. 4/2,10014 Житомирська  Житомир майдан ім. С.П.Корольова  буд. 4/2,mvk@zt-rada.gov.ua,0412-48-11-85
13576948,10014 Житомирська  Житомир майдан імені С.П. Корольова буд. 1,10014 Житомирська  Житомир майдан імені С.П. Корольова буд. 1,post@oblrada.zhitomir.ua,(0412)47-22-26
13577066,10003 Житомирська  Житомир Лесі Українки буд. 1,10003 Житомирська  Житомир Лесі Українки буд. 1,ztrada@yandex.ru,42-47-18
04388225,34363 Рівненська Володимирецький Жовкині Кузнецова буд. 23,34363 Рівненська Володимирецький Жовкині Кузнецова буд. 23,zhovkyni@silrada.rv.ua,03634-3-45-25
04337305,93734 Луганська Слов'яносербський Жовте пров.Комсомольський буд. 1,93734 Луганська Слов'яносербський Жовте пров.Комсомольський буд. 1,zheltenskii_sels@mail.ru,(06473) 64-1-42
24787097,54050 Миколаївська  Миколаїв пр. Жовтневий буд. 306 кiмната 201,54050 Миколаївська  Миколаїв пр. Жовтневий буд. 306 кiмната 201,jovtnevarada@mail.ru,0512257071
04366175,26016 Кіровоградська Новомиргородський Жовтневе 70-річ. Жовтня  буд. 63,26016 Кіровоградська Новомиргородський Жовтневе 70-річ. Жовтня  буд. 26,kramarovo@bigmir.net,(05256) 96-4-16
21044059,38413 Полтавська Решетилівський Жовтневе Свердлова буд. 8,38413 Полтавська Решетилівський Жовтневе Свердлова буд. 8,govtnevarada@ukr.net,0536395442
23093493,28613 Кіровоградська Устинівський Жовтневе Центральна буд. 1,28613 Кіровоградська Устинівський Жовтневе Центральна буд. 1,october.sr@ukr.net,05239 33142
04353633,71740 Запорізька Токмацький Жовтневе Антипенка буд. 69В,71740 Запорізька Токмацький Жовтневе Антипенка буд. 69В,govt@mail.ru,0617844492
04378149,68751   Одеська Болградський Жовтневе вул. Леніна буд. 74,68751   Одеська Болградський Жовтневе вул. Леніна буд. 74,bolgrad_jovtnevarada@mail.ru,0484635542
21047974,38240 Полтавська Семенівський Жовтневе Леніна буд. 15,38240 Полтавська Семенівський Жовтневе Леніна буд. 15,Відсутня,(05341)98231
26368938,52204 Дніпропетровська Жовті Води Жовті Води Петровського буд. 33,52204 Дніпропетровська Жовті Води Жовті Води Петровського буд. 33,info@gvvyk.dp.ua,0-(5652)-5-60-20
21048755,38022 Полтавська Шишацький Жоржівка Центральна буд. 84,38022 Полтавська Шишацький Жоржівка Центральна буд. 84,Відсутня,0535294338
04333721,45264 Волинська Ківерцівський Жорнище Центральна буд. 3 кiмната 3,45264 Волинська Ківерцівський Жорнище Центральна буд. 3 кiмната 3,sergsy.kucher.2012@mail.ru,
04356828,78237 Івано-Франківська Коломийський Жукотин Лесі Українки буд. 1,78237 Івано-Франківська Коломийський Жукотин Лесі Українки буд. 1,amorr1969@gmail.com,
04636255,30075 Хмельницька Славутський Жуків Лесі Українки буд. 1,30075 Хмельницька Славутський Жуків Лесі Українки буд. 1,zukrada@ukr.net,0384221912
04333738,45213 Волинська Ківерцівський Журавичі Шкільна буд. 19,45213 Волинська Ківерцівський Журавичі Шкільна буд. 19,zhuravychi@ukr.net,
04332957,44455 Волинська Старовижівський Журавлине Перемоги буд. 111,44455 Волинська Старовижівський Журавлине Перемоги буд. 111,juravlynivska@gmail.com,0334691342
04334991,45737 Волинська Горохівський Журавники Загребельна буд. 2,45737 Волинська Горохівський Журавники Загребельна буд. 2,juravnuku.rada@gmail.com,0337991642
04367909,97321 АР Крим Кіровський Журавки Леніна буд. 1,97321 АР Крим Кіровський Журавки Леніна буд. 1,zhuravki-kir@rambler.ru,(06555) 97-286
04388231,34372 Рівненська Володимирецький Заболоття Соборна буд. 10а,34372 Рівненська Володимирецький Заболоття Соборна буд. 10а,zabolottia@silrada.rv.ua,0363456143
20123756,44321 Волинська Любомльський Заболоття Брестська  буд.  3,44321 Волинська Любомльський Заболоття Брестська  буд.  3,zabolottja.lbm@gmail.com,
04335236,45328 Волинська Іваничівський Заболотці Молодіжна буд. 30,45328 Волинська Іваничівський Заболотці Молодіжна буд. 30,zab-rada@ukr.net,
04332242,45623 Волинська Луцький Забороль Володимирська буд. 34а,45623 Волинська Луцький Забороль Володимирська буд. 34а,zabborol@gmail.com,(0332)79-41-17
04373465,82540 Львівська Турківський Завадівка Середня буд. 10,82540 Львівська Турківський Завадівка Середня буд. 10,zavadivka_rada@ukr.net,03-269-386-57
04335246,45346 Волинська Іваничівський Завидів Центральна буд. 102,45346 Волинська Іваничівський Завидів Центральна буд. 102,zavyd-rada@ukr.net,
21046377,38772 Полтавська Полтавський Заворскло Карла Маркса буд. 9,38772 Полтавська Полтавський Заворскло Карла Маркса буд. 9,zavorsklo@mail.ru,0532643533
04526147,45221 Волинська Ківерцівський с. Човниця Кравчука буд. 1,45221 Волинська Ківерцівський с. Човниця Кравчука буд. 1,zavitne.sr@gmail.com,
04367795,96126 Республіка Крим Джанкойський Завіт-Ленінський Шевченка буд. 20,96126 Республіка Крим Джанкойський Завіт-Ленінський Шевченка буд. 20,arkzavetnoe@mail.ru,065-64(5-25-31)
04356834,78264 Івано-Франківська Коломийський Загайпіль Українська  буд. 44а,78264 Івано-Франківська Коломийський Загайпіль Українська  буд. 44а,s.szagaypil@yandex.ru,(03433) 65038
04416298,16105 Чернігівська Сосницький Загребелля Лісова буд. 24,16105 Чернігівська Сосницький Загребелля Лісова буд. 24,zagrebella@gmail.com,(04655)2-17-91
04342826,84692 Донецька Горлівка Зайцеве Карбишева буд. 41,84692 Донецька Горлівка Зайцеве Карбишева буд. 41,zajrada@yandex.ua,0624266470
25435963,88008 Закарпатська  Ужгород площа Народна буд. 4,88008 Закарпатська  Ужгород площа Народна буд. 4,admin@zakarpat-rada.gov.ua,(0312) 61-43-64
20123992,45143 Волинська Рожищенський Залісці Фрунзе буд. 28,45143 Волинська Рожищенський Залісці Фрунзе буд. 28,zalisci.rozhadm@gmail.com,0977714634
04334086,44244 Волинська Любешівський Залаззя Радянська буд. 2,44244 Волинська Любешівський Залаззя Радянська буд. 2,zalazzya@ukr.net,(03362)25931
24984975,51013 Дніпропетровська Царичанський Залелія Чкалова буд. 9А,51013 Дніпропетровська Царичанський Залелія Чкалова буд. 9А,tsrzaleliyvsil@mail.dp.gov.ua,05690-6-28-31
04373241,81023 Львівська Яворівський Залужжя,81023 Львівська Яворівський Залужжя,zalyzja@meta.ua,0000000000
04402928,30226 Хмельницька Білогірський Залужжя Садова буд. 1,30226 Хмельницька Білогірський Залужжя Садова буд. 1,zalyjja@gmail.com,(03841) 9-41-10
04334590,44120 Волинська Ратнівський Залухів 8-Березня буд. 5,44120 Волинська Ратнівський Залухів 8-Березня буд. 5,zalyxiv@ukr.net,
04334117,44253 Волинська Любешівський Залізниця Радянська буд. 6,44253 Волинська Любешівський Залізниця Радянська буд. 6,zaliznyca@ukr.net,
04526124,44541 Волинська Камінь-Каширський Залісся Радянська  буд. 81,44541 Волинська Камінь-Каширський Залісся Радянська  буд. 81,zalisyasr@ukr.net,0335794742
04058396,48601 Тернопільська Заліщицький Заліщики С.Бандери буд. 40,48601 Тернопільська Заліщицький Заліщики С.Бандери буд. 40,zalmradatr@mail.ru,(03554) 21493
04590524,45531 Волинська Локачинський Замличі Центральна буд. 27,45531 Волинська Локачинський Замличі Центральна буд. 27,Zamlichi2@gmail.com,0337493547
04525886,97493 Республіка Крим Євпаторія Заозерне Алея Дружби  буд. 50,97493 Республіка Крим Євпаторія Заозерне Алея Дружби  буд. 50,zaozerka_35@ukr.net,(06569) 2-13-38
25763839,71333 Запорізька Кам'янсько-Дніпровський Заповітне Центральна буд. 4 кiмната 4,71333 Запорізька Кам'янсько-Дніпровський Заповітне Центральна буд. 4 кiмната 4,Zaprada@yandex.ru,(06138)99-3-15
20507422,69107 Запорізька  Запоріжжя пр. Леніна буд. 164,69107 Запорізька  Запоріжжя пр. Леніна буд. 164,rada@rada.zp.ua,061-224-71-11
02604908,69044 Запорізька  м.Запоріжжя майдан Профспілок буд. 5,69044 Запорізька  м.Запоріжжя майдан Профспілок буд. 5,zosp@infocom.zp.ua,0612-34-30-65
26182168,72520 Запорізька Якимівський Новоданилівка Леніна буд. 13,72520 Запорізька Якимівський Новоданилівка Леніна буд. 13,NovodanilovkaVika@mail.ru,0613161003
04352486,72040 Запорізька Михайлівський Плодородне Радянська буд. 11,72040 Запорізька Михайлівський Плодородне Радянська  буд. 11,iu.oleinick@yandex.ru,0613295131
22543793,39731 Полтавська Кременчуцький Запсілля вул. 26 Бакинських Комісарів буд. 10,39731 Полтавська Кременчуцький Запсілля вул. 26 Бакинських Комісарів буд. 10,Відсутня,(0536)73-67-42
04327235,22850 Вінницька Немирівський Зарудинці Леніна буд. 38  А,22850 Вінницька Немирівський Зарудинці Леніна буд. 38  А,village.people.ua@mail.ru,0433137242
04334100,44213 Волинська Любешівський Зарудчі Незалежності буд. 96,44213 Волинська Любешівський Зарудчі Незалежності буд. 96,zarudchi@ukr.net,
04347284,12440 Житомирська Житомирський Зарічани провулок Шкільний буд. 8Б,12440 Житомирська Житомирський Зарічани провулок Шкільний буд. 8Б,zarichany.rada@ukr.net,(0412)24-48-69
04349538,"90123 Закарпатська Іршавський село Заріччя Леніна, буд. б/н","90123 Закарпатська Іршавський село Заріччя Леніна, буд. б/н",zarichjarada@mail.ru,0314477223
04334809,44740 Волинська Володимир-Волинський Заріччя Радянська буд. 2а,44740 Волинська Володимир-Волинський Заріччя Радянська буд. 2а,zaricharada@gmail.com,0334291603
25313770,34000 Рівненська Зарічненський Зарічне Центральна буд. 11 кiмната 39,34000 Рівненська Зарічненський Зарічне Центральна буд. 11 кiмната 39,radazar@meta.ua,0363235071
04385632,34000 Рівненська Зарічненський Зарічне Фестивальна  буд. 22,34000 Рівненська Зарічненський Зарічне Фестивальна  буд. 22,smtzarichne.selishnarada@yandex.ua,(03632)3-07-80
04590493,45329 Волинська Іваничівський Заставне Клименка буд. 26в,45329 Волинська Іваничівський Заставне Клименка буд. 26в,zastav-rada@ukr.net,
04062140,59400 Чернівецька Заставнівський Заставна Гагаріна  буд. 9,59400 Чернівецька Заставнівський Заставна Гагаріна  буд. 9,zastavrada@ukr.net,0(3737)3-13-90
04332087,45523 Волинська Локачинський Затурці Липинського буд. 66,45523 Волинська Локачинський Затурці Липинського буд. 66,Zaturci@gmail.com,0337497446
04365342,27132 Кіровоградська Новоукраїнський Захарівка Клубна буд. 24,27132 Кіровоградська Новоукраїнський Захарівка Клубна буд. 24,zaharivkasr@ukr.net,0525142638
04364325,27545 Кіровоградська Світловодський Захарівка Гагаріна буд. 91,27545 Кіровоградська Світловодський Захарівка Гагаріна буд. 91,org@srda.gov.ua,(05236)5-47-16
04332093,45532 Волинська Локачинський Заячиці Жовтнева буд. 33,45532 Волинська Локачинський Заячиці Жовтнева  буд. 33,zayachici@gmail.com,(03374)9-33-31
24632934,47302 Тернопільська Збаразький Збараж майдан І.Франка буд. 1,47302 Тернопільська Збаразький Збараж майдан І.Франка буд. 1,zbar_rada@ukr.net,(03550) 2-18-39
23096801,28025 Кіровоградська Олександрійський Звенигородка Леніна буд. 7,28025 Кіровоградська Олександрійський Звенигородка Леніна буд. 7,zvenigorodka_rada@ukr.net,(05235) 71355
04369742,81156 Львівська Пустомитівський с. Звенигород Без назви буд. 1441 кiмната 1,81156 Львівська Пустомитівський с.Звенигород Без назви буд. 1441 кiмната 1,zvenyhorodrada@gmail.com,8(0230) 26541
04334985,45725 Волинська Горохівський Звиняче Шкільна буд. 29,45725 Волинська Горохівський Звиняче Шкільна буд. 29,zvunyache.rada@gmail.com,0337992202
04386189,35051 Рівненська Костопільський Звіздівка І.Франка буд. 24,35051 Рівненська Костопільський Звіздівка І.Франка буд. 24,zvizdivka@mail.ru,
04333750,45250 Волинська Ківерцівський Звірів Київська буд. 49 кiмната а,45250 Волинська Ківерцівський Звірів Київська буд. 49 кiмната а,zviriv.sr@gmail.com,
04385830,35709 Рівненська Здолбунівський Здовбиця Шосова буд. 105,35709 Рівненська Здолбунівський Здовбиця Шосова буд. 105,zdovb@ukr.net,0365242094
05391130,35700 Рівненська Здолбунівський Здолбунів Приходька буд. 1,35700 Рівненська Здолбунівський Здолбунів Приходька буд. 1,miskrada@ukrsd.com.ua,"(03652)22131, (03652)21086"
21086247,35700 Рівненська Здолбунівський  Здолбунів Грушевського буд. 14,35700 Рівненська Здолбунівський  Здолбунів Грушевського буд. 14,radazdol@icc.rv.ua,03652 2-50-91
04334614,44150 Волинська Ратнівський Здомишель Шевченка буд. 33,44150 Волинська Ратнівський Здомишель Шевченка буд. 33,Zdomyhel-sr@ukr.net,(03366)30998
04338227,53710 Дніпропетровська Широківський Зелена Балка Гагаріна буд. 27,53710 Дніпропетровська Широківський Зелена Балка Молодіжна буд. 1А,shirzelenobalsil@mail.dp.gov.ua,(05657)2-44-19
03307986,32651 Хмельницька Новоушицький Зелені Курилівці Шевченка буд. б/н,32651 Хмельницька Новоушицький Зелені Курилівці Шевченка буд. б/н,Відсутня,(03847) 23547
04342401,85525 Донецька Великоновосілківський Зелене Поле Леніна буд. 20,85525 Донецька Великоновосілківський Зелене Поле Леніна буд. 20,zelenepole@mail.ru,
04526153,45060 Волинська Ковельський Зелена Ковельська буд. 43,45060 Волинська Ковельський Зелена Ковельська буд. 43,Zelena.sr@gmail.com,(03352) 56-5-51
04354611,78433 Івано-Франківська Надвірнянський с.Зелена присілок Хрипелів буд. Сільська рада,78433 Івано-Франківська Надвірнянський с.Зелена присілок Хрипелів буд. Сільська рада,zelena_rada@meta.ua,03475-67-4-41
04341206,87310 Донецька Амвросіївський Зелене Леніна буд. 77а,87310 Донецька Амвросіївський Зелене Леніна буд. 77а,sovet@amvr.dc.ukrtel.net,
04352569,70140 Запорізька Новомиколаївський Зелене Миру буд. 19,70140 Запорізька Новомиколаївський Зелене Миру буд. 19,Відсутня,0614496730
